ALX:[0;P Kontinuum;Q Kontinuum
17;Nein nein nein: weniger Dimensionen;Komprimieren wie ZIP oder Brotli oder mp3
19;Nein nein nein: mehr Dimensionen;Intelligenz anderer verstehen, Schlaeue Intelligenz der Expression des Ausdrucks des Extrakts der Extrahierung ist die Schlaeue anderens Schlauhheit zu erfasssen.
20;Nein nein nein: formulierte formale Dimension;Clustering umkreisen, Klassifizieren durch Optimierungsraum
22;Nein nein nein: Zeitalter Aeras Zeiten Weltordnungen;Puzzleteile finden durch Simulation Nachbildung
23;Nein nein nein: Speicher Struktur Informations Dimension;Speicherung Informationen Intelligenz Schlaeue
24;Nein nein nein: Dimensionsvernetzung;Web der Schwierigkeiten
25;Nein nein nein: Start Boot Prozess Dimensionen Multiversum;Start Boot Prozess Intelligenz Kompliziertheit Schwierigkeit
26;Nein nein nein: Dimensionsverschraenkung Phasenverschiebung;Phasenverschirbung bei Schwierigkeitenverschiebung
27;Nein nein nein: Dimensionen trennen und oeffnen und regenerieren;Einfachheit herstellen durch Knoten aufloesen lockern frei machen entfitzen
28;Nein nein nein: topologisch und topographisch verstandene Dimensionen;Maschen Stoff Tuch Genaehtes Gestricktes Schwierigkeitsebene
29;Nein nein nein: Nadel, die die Dimensionen in die Tiefe durchdringt;Nadel der Wege die die Kleidung in Schwierige Bereiche durchdringt.]:ALX.
