Layer Number;German Name;German Description;English Name;English Description;French Name;French Description;Spanish Name;Spanish Description
1;Bit-Transport-Schicht;Rohdatenübertragung, elektrische/optische Signale.;Bit Transport Layer;Raw data transmission, electrical/optical signals.;Couche de transport de bits;Transmission de données brutes, signaux électriques/optiques.;Capa de transporte de bits;Transmisión de datos en bruto, señales eléctricas/ópticas.
2;Rahmen-Schicht;Frames, Fehlerkontrolle, lokale Adressierung.;Frame Layer;Frames, error control, local addressing.;Couche de trame;Trames, contrôle d'erreurs, adressage local.;Capa de marco;Marcos, control de errores, direccionamiento local.
3;Pfad-Schicht;Routing, logische Adressierung.;Path Layer;Routing, logical addressing.;Couche de chemin;Routage, adressage logique.;Capa de ruta;Enrutamiento, direccionamiento lógico.
4;Fluss-Schicht;Segmentierung, Flusskontrolle, Ende-zu-Ende-Kommunikation.;Flow Layer;Segmentation, flow control, end-to-end communication.;Couche de flux;Segmentation, contrôle de flux, communication de bout en bout.;Capa de flujo;Segmentación, control de flujo, comunicación de extremo a extremo.
5;Dialog-Schicht;Aufbau, Verwaltung, Beendigung von Sitzungen.;Dialog Layer;Establishment, management, termination of sessions.;Couche de dialogue;Établissement, gestion, terminaison de sessions.;Capa de diálogo;Establecimiento, gestión, terminación de sesiones.
6;Struktur-Schicht;Datenformatierung, Kodierung, Kompression.;Structure Layer;Data formatting, encoding, compression.;Couche de structure;Formatage de données, codage, compression.;Capa de estructura;Formateo de datos, codificación, compresión.
7;Identifikations-Schicht;Dienste für Benutzer, Anwendungsidentifikation.;Identification Layer;Services for users, application identification.;Couche d'identification;Services pour utilisateurs, identification d'applications.;Capa de identificación;Servicios para usuarios, identificación de aplicaciones.
8;Sicherheitsschicht;Verschlüsselung, Authentifizierung, Datenmaskierung, Anti-Überwachung.;Security Layer;Encryption, authentication, data masking, anti-surveillance.;Couche de sécurité;Chiffrement, authentification, masquage de données, anti-surveillance.;Capa de seguridad;Cifrado, autenticación, enmascaramiento de datos, anti-vigilancia.
9;Business-/Geschäftsprozesse-Schicht;Integration von Netzwerktechnologien in organisatorische Prozesse, Workflows.;Business/Business Processes Layer;Integration of network technologies into organizational processes, workflows.;Couche des processus d'affaires;Intégration des technologies de réseau dans les processus organisationnels, workflows.;Capa de procesos empresariales;Integración de tecnologías de red en procesos organizacionales, flujos de trabajo.
10;Semantische / Ontologische Wissensschicht;Interpretation, Bedeutung, Wissensmodellierung, semantische Analyse.;Semantic/Ontological Knowledge Layer;Interpretation, meaning, knowledge modeling, semantic analysis.;Couche de connaissance sémantique/ontologique;Interprétation, signification, modélisation de connaissances, analyse sémantique.;Capa de conocimiento semántico/ontológico;Interpretación, significado, modelado de conocimiento, análisis semántico.
11;Service / Application-Orchestration Layer;Dienstkomposition, API-Management, QoS, Orchestrierung von Anwendungen.;Service/Application Orchestration Layer;Service composition, API management, QoS, orchestration of applications.;Couche d'orchestration de services/applications;Composition de services, gestion d'API, QoS, orchestration d'applications.;Capa de orquestación de servicios/aplicaciones;Composición de servicios, gestión de API, QoS, orquestación de aplicaciones.
12;Kontext-Schicht;Einbettung von Daten in organisatorische, gesellschaftliche oder situative Zusammenhänge; Kontextbewusstsein.;Context Layer;Embedding data in organizational, societal, or situational contexts; context awareness.;Couche de contexte;Intégration de données dans des contextes organisationnels, sociétaux ou situationnels; conscience contextuelle.;Capa de contexto;Incrustación de datos en contextos organizacionales, sociales o situacionales; conciencia contextual.
13;Ethik-/Governance-Schicht;Regeln, Policies, Überwachung autonomer Systeme, Compliance, faire Ressourcennutzung.;Ethics/Governance Layer;Rules, policies, monitoring of autonomous systems, compliance, fair resource usage.;Couche d'éthique/gouvernance;Règles, politiques, surveillance de systèmes autonomes, conformité, utilisation équitable des ressources.;Capa de ética/gobernanza;Reglas, políticas, monitoreo de sistemas autónomos, cumplimiento, uso justo de recursos.
14;Kooperations-/Ökosystem-Schicht;Verbindung und Abstimmung zwischen unterschiedlichen Netzwerken, Organisationen, Plattformen; kollektive Optimierung.;Cooperation/Ecosystem Layer;Connection and coordination between different networks, organizations, platforms; collective optimization.;Couche de coopération/écosystème;Connexion et coordination entre différents réseaux, organisations, plateformes; optimisation collective.;Capa de cooperación/ecosistema;Conexión y coordinación entre diferentes redes, organizaciones, plataformas; optimización colectiva.
15;Selbstorganisations-Schicht;Systeme, die autonom Regeln, Strukturen und Prozesse entwickeln; adaptive Selbststeuerung.;Self-Organization Layer;Systems that autonomously develop rules, structures, and processes; adaptive self-control.;Couche d'auto-organisation;Systèmes qui développent autonomement règles, structures et processus; auto-contrôle adaptatif.;Capa de autoorganización;Sistemas que desarrollan autónomamente reglas, estructuras y procesos; autocontrol adaptativo.
16;Virtuelle Räume-Schicht;Simulationen, virtuelle Realitäten, digitale Welten und parallele Umgebungen.;Virtual Spaces Layer;Simulations, virtual realities, digital worlds, and parallel environments.;Couche d'espaces virtuels;Simulations, réalités virtuelles, mondes numériques et environnements parallèles.;Capa de espacios virtuales;Simulaciones, realidades virtuales, mundos digitales y entornos paralelos.
17;Intelligenz-Schicht;Aggregation und Integration von Wissen, KI-gestützte Analyse, adaptive Entscheidungen, Meta-Lernen.;Intelligence Layer;Aggregation and integration of knowledge, AI-supported analysis, adaptive decisions, meta-learning.;Couche d'intelligence;Agrégation et intégration de connaissances, analyse soutenue par IA, décisions adaptatives, méta-apprentissage.;Capa de inteligencia;Agregación e integración de conocimiento, análisis apoyado por IA, decisiones adaptativas, meta-aprendizaje.
18;Linguistik-Schicht;Sprache, Semantik, Kommunikation zwischen Systemen und Menschen; Symbolische Repräsentation.;Linguistics Layer;Language, semantics, communication between systems and humans; symbolic representation.;Couche linguistique;Langue, sémantique, communication entre systèmes et humains; représentation symbolique.;Capa lingüística;Lenguaje, semántica, comunicación entre sistemas y humanos; representación simbólica.
19;Briefumschlag-Schicht;Transport von Nachrichten mit Integrität, Authentizität und Geheimhaltung; digitale Umschläge.;Envelope Layer;Transport of messages with integrity, authenticity, and secrecy; digital envelopes.;Couche d'enveloppe;Transport de messages avec intégrité, authenticité et secret; enveloppes numériques.;Capa de sobre;Transporte de mensajes con integridad, autenticidad y secreto; sobres digitales.
20;Form-Schicht;Struktur, Ästhetik, Darstellung von Informationen; visuelle, logische oder formale Organisation.;Form Layer;Structure, aesthetics, presentation of information; visual, logical, or formal organization.;Couche de forme;Structure, esthétique, présentation d'informations; organisation visuelle, logique ou formelle.;Capa de forma;Estructura, estética, presentación de información; organización visual, lógica o formal.
21;Regierungs-Schicht;Verwaltung, Kontrolle, Policies und strategische Steuerung über Netzwerke, Organisationen und Systeme.;Government Layer;Administration, control, policies, and strategic guidance over networks, organizations, and systems.;Couche gouvernementale;Administration, contrôle, politiques et guidance stratégique sur réseaux, organisations et systèmes.;Capa gubernamental;Administración, control, políticas y guía estratégica sobre redes, organizaciones y sistemas.



